City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Pascagoula,US,2022-09-28 02:04:38,30.3658,-88.5561,69.85,58,0,6.91
127,Cape Town,ZA,2022-09-28 02:04:21,-33.9258,18.4232,55.11,84,100,3.76
128,San Policarpo,PH,2022-09-28 02:04:38,12.1791,125.5072,82.63,77,97,2.24
129,Chokurdakh,RU,2022-09-28 02:04:39,70.6333,147.9167,28.63,61,39,9.69
130,Pisco,PE,2022-09-28 02:04:39,-13.7,-76.2167,59.05,82,0,10.36
131,Le Port,RE,2022-09-28 02:04:40,-20.9373,55.2919,69.76,68,55,5.32
132,Broken Hill,AU,2022-09-28 02:04:40,-31.95,141.4333,57.25,62,91,19.89
133,Georgetown,MY,2022-09-28 02:01:34,5.4112,100.3354,84.13,83,20,3.44
134,Norman Wells,CA,2022-09-28 02:04:41,65.282,-126.8329,40.87,75,82,5.7
135,Okakarara,NA,2022-09-28 02:04:42,-20.5833,17.4333,65.8,18,20,10.07
136,Ballitoville,ZA,2022-09-28 02:05:43,-29.539,31.2144,70.25,93,98,9.78
137,Salalah,OM,2022-09-28 02:04:50,17.0151,54.0924,80.69,74,75,3.44
138,Yellowknife,CA,2022-09-28 02:04:57,62.456,-114.3525,55.94,67,93,12.88
139,Leningradskiy,RU,2022-09-28 02:05:43,69.3833,178.4167,29.14,81,100,6.13
140,Port Hardy,CA,2022-09-28 02:05:44,50.6996,-127.4199,58.08,91,100,9.66
141,Hauterive,FR,2022-09-28 02:05:45,46.0901,3.4459,61.56,94,100,10.18
142,Muros,ES,2022-09-28 02:05:46,42.7762,-9.0603,62.1,90,90,6.51
143,Port Moresby,PG,2022-09-28 02:05:46,-9.4431,147.1797,85.05,67,23,6.98
144,Vestmannaeyjar,IS,2022-09-28 02:05:47,63.4427,-20.2734,47.44,71,98,5.95
145,Kodiak,US,2022-09-28 02:05:48,57.79,-152.4072,51.31,76,100,17.27
146,Thinadhoo,MV,2022-09-28 02:05:48,0.5333,72.9333,79.47,78,100,14.52
147,Qaanaaq,GL,2022-09-28 02:05:49,77.484,-69.3632,28.74,94,95,5.93
148,Husavik,IS,2022-09-28 02:05:49,66.0449,-17.3389,38.86,75,55,5.99
149,Zhangjiakou,CN,2022-09-28 02:05:50,40.81,114.8794,69.67,40,9,2.55
150,Granadilla De Abona,ES,2022-09-28 02:05:50,28.1188,-16.576,67.98,83,20,23.02
151,Vanavara,RU,2022-09-28 02:05:51,60.34,102.2797,33.15,75,95,6.08
152,Remontnoye,RU,2022-09-28 02:05:51,46.5614,43.6501,60.57,91,100,8.01
153,Skibbereen,IE,2022-09-28 02:05:52,51.55,-9.2667,55.11,86,100,8.21
154,Pychas,RU,2022-09-28 02:05:53,56.5033,52.4409,27.81,80,45,9.4
155,Matagami,CA,2022-09-28 02:02:36,49.7502,-77.6328,44.71,100,100,11.5
156,Laguna,US,2022-09-28 02:05:37,38.421,-121.4238,82.31,46,0,8.05
157,Wakefield,GB,2022-09-28 02:05:53,53.6809,-1.499,47.52,88,7,5.12
158,Batticaloa,LK,2022-09-28 02:05:54,7.7102,81.6924,80.15,79,100,4.16
159,Noyabrsk,RU,2022-09-28 02:05:55,63.1994,75.4507,26.13,72,89,10.76
160,Lorengau,PG,2022-09-28 02:05:56,-2.0226,147.2712,85.5,64,83,13.09
161,Teya,RU,2022-09-28 02:05:57,60.3778,92.6267,32.76,85,100,4.05
162,Chiredzi,ZW,2022-09-28 02:05:57,-21.05,31.6667,69.17,80,2,10.71
163,Maldonado,UY,2022-09-28 02:01:26,-34.6667,-54.9167,52.23,87,14,6.42
164,Banda Aceh,ID,2022-09-28 02:05:58,5.5577,95.3222,81.1,72,100,15.48
165,Gillette,US,2022-09-28 02:05:59,44.2911,-105.5022,66.81,40,0,12.66
166,Ozuluama,MX,2022-09-28 02:05:59,21.6667,-97.85,72.54,89,100,3.69
167,Dagda,LV,2022-09-28 02:06:00,56.0951,27.5372,39.47,97,20,5.14
168,Grindavik,IS,2022-09-28 02:06:01,63.8424,-22.4338,45.07,93,75,10.36
169,Sitka,US,2022-09-28 02:06:01,57.0531,-135.33,53.49,94,100,0.0
170,Half Moon Bay,US,2022-09-28 02:06:02,37.4636,-122.4286,70.03,79,75,20.71
171,Nanortalik,GL,2022-09-28 02:06:02,60.1432,-45.2371,43.09,96,99,4.43
172,Trincomalee,LK,2022-09-28 02:06:03,8.5711,81.2335,81.01,71,70,15.79
173,Saint-Pierre,RE,2022-09-28 02:06:04,-21.3393,55.4781,67.68,52,40,9.22
174,Airai,TL,2022-09-28 02:06:05,-8.9266,125.4092,75.4,55,100,1.21
175,Freeport,US,2022-09-28 02:06:05,40.6576,-73.5832,65.17,61,0,9.22
