City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
680,Chizhou,CN,83.77,few clouds,30.6578,117.4831,Home Inn Chizhou Qiupu West Road Xiushanmen Square
683,Inhambane,MZ,82.38,clear sky,-23.865,35.3833,Oceano
685,Tiko,CM,82.24,light rain,4.0745,9.3699,3813 Hotel Tiko
688,Buta,CD,83.23,overcast clouds,2.7858,24.73,Hôtel BOPANDO
691,Dingle,PH,77.16,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
692,San Matias,BO,87.71,broken clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
693,Kambove,CD,88.65,scattered clouds,-10.8764,26.5969,Pat. Mukendi
695,Ruwi,OM,87.49,clear sky,23.5996,58.5507,Al Falaj Hotel
701,Turiacu,BR,88.95,broken clouds,-1.6633,-45.3717,Pousada Maranata
708,Bani,DO,80.04,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
711,Kyaikkami,MM,79.5,light rain,16.08,97.5675,St. joseph catholic church
715,Kampong Thum,KH,76.87,overcast clouds,12.7111,104.8887,Sambor Village Hotel
