City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Porangatu,BR,-13.4408,-49.1486,97.23,23,30,9.73,scattered clouds
137,Nikolskoye,RU,59.7035,30.7861,49.89,71,58,3.29,broken clouds
138,Carballo,ES,43.213,-8.691,69.49,81,66,5.26,broken clouds
139,Topeka,US,39.0483,-95.678,59.45,72,0,6.91,clear sky
140,Verkhnyaya Toyma,RU,62.2349,44.9985,48.38,85,18,3.71,few clouds
141,Bokaro,IN,23.7833,85.9667,83.08,69,100,4.63,overcast clouds
142,Hirara,JP,24.8,125.2833,81.9,75,1,13.53,clear sky
143,Ponta Delgada,PT,37.7333,-25.6667,72.32,73,75,10.36,light intensity shower rain
144,Mogadishu,SO,2.0371,45.3438,78.71,77,0,16.51,clear sky
145,Saint-Joseph,RE,-21.3667,55.6167,71.98,71,38,10.33,scattered clouds
146,Viedma,AR,-40.8135,-62.9967,68.72,44,0,11.74,clear sky
147,Bubaque,GW,11.2833,-15.8333,81.0,77,99,5.79,overcast clouds
148,Flinders,AU,-34.5833,150.8552,52.18,90,86,1.99,light rain
149,Chacabuco,AR,-34.6417,-60.4739,74.98,34,100,6.49,overcast clouds
150,Santa Isabel,BR,-23.3156,-46.2214,69.1,83,97,1.54,overcast clouds
151,Pervomayskoye,RU,43.919,46.7102,78.13,37,15,13.42,few clouds
152,Eghezee,BE,50.5851,4.9028,66.29,60,91,16.17,overcast clouds
153,Georgetown,MY,5.4112,100.3354,78.89,87,20,3.44,few clouds
154,Jieshi,CN,22.8134,115.8257,80.29,83,18,9.89,few clouds
155,Kutum,SD,14.2,24.6667,91.83,15,23,10.31,few clouds
156,Montreal,CA,45.5088,-73.5878,54.14,82,100,3.0,overcast clouds
157,Mayo,US,38.8876,-76.5119,59.95,93,100,12.66,overcast clouds
158,Bukachacha,RU,52.9833,116.9167,29.34,84,44,7.05,scattered clouds
159,Severo-Kurilsk,RU,50.6789,156.125,43.61,90,100,8.41,light rain
160,Camacha,PT,33.0833,-16.3333,72.82,57,40,19.57,scattered clouds
161,Qasigiannguit,GL,68.8193,-51.1922,34.05,72,28,1.39,scattered clouds
162,Nome,US,64.5011,-165.4064,33.87,76,0,5.75,clear sky
163,Saint-Philippe,RE,-21.3585,55.7679,72.99,73,47,9.06,scattered clouds
164,Faya,SA,18.3851,42.4509,70.32,41,27,11.86,scattered clouds
165,Chara,RU,56.9064,118.2631,29.68,86,100,8.23,snow
